# Conference Summary (227 total: 130 upcoming, 0 ongoing, 97 ended)
# Generated: 2026-09-07
# Format: id | name | start~end | region | status | categories

aaai-apac-2026 | AAAI 2026 (40th AAAI Conference on Artificial Intelligence) | 2026-01-20~2026-01-27 | Asia-Pacific | ended | AI / 機械学習
ai-market-conference-jp-2026 | AI Market Conference 2026 | 2026-01-28~2026-01-28 | Japan | ended | AI / 機械学習, ビジネス / DX
data-spaces-symposium-eu-2026 | Data Spaces Symposium 2026 | 2026-02-10~2026-02-11 | Europe | ended | Data Spaces / データ連携, データプラットフォーム, ビジネス / DX
ai-agent-day-online-2026 | AI Agent Day 2026 | 2026-02-12~2026-02-13 | Online | ended | AI / 機械学習, ビジネス / DX
iapp-uk-intensive-eu-2026 | IAPP UK Intensive 2026 (Privacy, AI Governance, Cybersecurity Law) | 2026-02-23~2026-02-26 | Europe | ended | PETs, ビジネス / DX
world-forum-data-spaces-ai-eu-2026 | World Forum on Data Spaces & AI 2026 | 2026-03-05~2026-03-05 | Europe | ended | Data Spaces / データ連携, AI / 機械学習
jaws-days-jp-2026 | JAWS DAYS 2026 | 2026-03-07~2026-03-07 | Japan | ended | クラウド / インフラ
fheorg-conference-apac-2026 | FHE.org Conference 2026 | 2026-03-08~2026-03-08 | Asia-Pacific | ended | PETs
data-management-jp-2026 | データマネジメント2026 | 2026-03-11~2026-03-11 | Japan | ended | データプラットフォーム, データインテリジェンス
qcon-london-eu-2026 | QCon London 2026 | 2026-03-16~2026-03-19 | Europe | ended | クラウド / インフラ, データエンジニアリング
nvidia-gtc-north-america-2026 | NVIDIA GTC 2026 | 2026-03-16~2026-03-19 | North America | ended | AI / 機械学習, クラウド / インフラ
fabcon-north-america-2026 | Microsoft Fabric Community Conference 2026 (FabCon) | 2026-03-16~2026-03-20 | North America | ended | データプラットフォーム, データインテリジェンス
ai-dx-leaders-conference-jp-2026 | AI & DX Leaders' Conference 2026 | 2026-03-17~2026-03-17 | Japan | ended | ビジネス / DX, AI / 機械学習
8ra-annual-summit-eu-2026 | 8ra Annual Summit 2026 (General Assembly and Open Conference) | 2026-03-19~2026-03-20 | Europe | ended | Data Spaces / データ連携, クラウド / インフラ
kubecon-cloudnativecon-europe-eu-2026 | KubeCon + CloudNativeCon Europe 2026 | 2026-03-23~2026-03-26 | Europe | ended | クラウド / インフラ
srecon26-americas-north-america-2026 | SREcon26 Americas | 2026-03-24~2026-03-26 | North America | ended | クラウド / インフラ
eacl-eu-2026 | EACL 2026 (19th Conference of the European Chapter of the ACL) | 2026-03-24~2026-03-29 | Europe | ended | AI / 機械学習
ai-spring-jp-2026 | AI博覧会 Spring 2026 | 2026-04-07~2026-04-08 | Japan | ended | AI / 機械学習, ビジネス / DX
teamz-web3-ai-summit-jp-2026 | TEAMZ Web3 & AI Summit 2026 | 2026-04-07~2026-04-08 | Japan | ended | AI / 機械学習, ビジネス / DX
japan-dx-week-jp-2026 | Japan DX Week 春 2026 | 2026-04-08~2026-04-10 | Japan | ended | ビジネス / DX, AI / 機械学習
icbda-jp-2026 | ICBDA 2026 (11th International Conference on Big Data Analytics) | 2026-04-11~2026-04-14 | Japan | ended | データインテリジェンス, データエンジニアリング
informs-analytics-north-america-2026 | INFORMS Analytics+ Conference 2026 | 2026-04-12~2026-04-14 | North America | ended | データインテリジェンス
ana-masters-of-data-north-america-2026 | ANA Masters of Data Conference 2026 | 2026-04-13~2026-04-15 | North America | ended | データインテリジェンス, ビジネス / DX
devopsdays-tokyo-jp-2026 | DevOpsDays Tokyo 2026 | 2026-04-14~2026-04-16 | Japan | ended | クラウド / インフラ
oracle-analytics-data-summit-north-america-2026 | Analytics and Data Summit 2026 (Oracle / ANDOUC) | 2026-04-14~2026-04-16 | North America | ended | データインテリジェンス, データプラットフォーム
nextech-week-10-aiexpo-jp-2026 | NexTech Week 2026【春】 第10回 AI・人工知能EXPO | 2026-04-15~2026-04-17 | Japan | ended | AI / 機械学習, ビジネス / DX
biaas-amsterdam-eu-2026 | Business Intelligence and Analytics Summit (BIAAS) 2026 | 2026-04-16~2026-04-17 | Europe | ended | データインテリジェンス, ビジネス / DX
devopscon-amsterdam-eu-2026 | DevOpsCon Amsterdam 2026 | 2026-04-20~2026-04-24 | Europe | ended | クラウド / インフラ
hannover-messe-industrial-data-spaces-eu-2026 | Hannover Messe 2026 - Industrial Data Spaces | 2026-04-20~2026-04-24 | Europe | ended | Data Spaces / データ連携, ビジネス / DX, データプラットフォーム
google-cloud-next-north-america-2026 | Google Cloud Next 2026 | 2026-04-22~2026-04-24 | North America | ended | クラウド / インフラ, データプラットフォーム, AI / 機械学習
cdao-singapore-apac-2026 | CDAO Singapore 2026 (Chief Data & Analytics Officer Forum) | 2026-04-22~2026-04-23 | Asia-Pacific | ended | データインテリジェンス, AI / 機械学習
iclr-north-america-2026 | ICLR 2026 (International Conference on Learning Representations) | 2026-04-23~2026-04-27 | South America | ended | AI / 機械学習
dtx-manchester-eu-2026 | DTX Manchester 2026 (Digital Transformation Expo) | 2026-04-29~2026-04-30 | Europe | ended | ビジネス / DX, クラウド / インフラ
data-week-eu-2026 | Data Week 2026 | 2026-05-05~2026-05-06 | Europe | ended | Data Spaces / データ連携, AI / 機械学習, データインテリジェンス
data-summit-north-america-2026 | Data Summit 2026 | 2026-05-05~2026-05-07 | North America | ended | データインテリジェンス, AI / 機械学習, データエンジニアリング
tableau-conference-north-america-2026 | Tableau Conference 2026 (TC26) | 2026-05-05~2026-05-07 | North America | ended | データインテリジェンス, データプラットフォーム
hybrid-ai-mlweek-north-america-2026 | HYBRID AI 2026 (Machine Learning Week) | 2026-05-05~2026-05-06 | North America | ended | AI / 機械学習
data-innovation-summit-eu-2026 | Data Innovation Summit 2026 | 2026-05-06~2026-05-08 | Europe | ended | Data Spaces / データ連携, AI / 機械学習, データエンジニアリング, データインテリジェンス
interoperability-summit-eu-2026 | Interoperability Summit 2026 | 2026-05-07~2026-05-07 | Europe | ended | Data Spaces / データ連携, データプラットフォーム, ビジネス / DX
devopscon-london-eu-2026 | DevOpsCon London 2026 | 2026-05-11~2026-05-15 | Europe | ended | クラウド / インフラ
gartner-da-summit-london-eu-2026 | Gartner Data & Analytics Summit London 2026 | 2026-05-11~2026-05-13 | Europe | ended | データインテリジェンス, ビジネス / DX
mlcon-london-eu-2026 | MLcon London 2026 | 2026-05-11~2026-05-15 | Europe | ended | AI / 機械学習
data-council-north-america-2026 | Data Council 2026 | 2026-05-12~2026-05-14 | North America | ended | データエンジニアリング, データプラットフォーム, AI / 機械学習
cio-japan-summit-jp-2026 | CIO Japan Summit 2026 | 2026-05-12~2026-05-13 | Japan | ended | ビジネス / DX
ai-council-sf-north-america-2026 | AI Council 2026 | 2026-05-12~2026-05-14 | North America | ended | AI / 機械学習
ai-marketing-conference-jp-2026 | AIマーケティングカンファレンス 2026 | 2026-05-13~2026-05-13 | Japan | ended | ビジネス / DX, AI / 機械学習
cloudnative-days-nagoya-platform-engineering-kaigi-sre-kaigi-jp-2026 | CloudNative Days Nagoya 2026 / Platform Engineering Kaigi / SRE Kaigi | 2026-05-14~2026-05-15 | Japan | ended | クラウド / インフラ
idc-cio-summit-new-york-north-america-2026 | IDC CIO Summit New York 2026 | 2026-05-14~2026-05-14 | North America | ended | ビジネス / DX
ai-business-conference-spring-jp-2026 | AI BUSINESS CONFERENCE 2026 春 in 東京 | 2026-05-14~2026-05-14 | Japan | ended | ビジネス / DX, AI / 機械学習
data-engineering-summit-india-apac-2026 | Data Engineering Summit 2026 | 2026-05-14~2026-05-15 | Asia-Pacific | ended | データエンジニアリング, AI / 機械学習
open-source-summit-north-america-north-america-2026 | Open Source Summit North America 2026 | 2026-05-18~2026-05-20 | North America | ended | クラウド / インフラ, データエンジニアリング
